scientificName,commonName,taxon,leadOffice,status
Amblyopsis spelaea,Northern cavefish,Fish,Frankfort,Petitioned
Erimystax harryi,Ozark chub,Fish,Arkansas,Petitioned
Cyprinella callitaenia,Bluestripe shiner,Fish,Panama City,Petitioned
Stylurus potulentus,Yellow-sided clubtail,Dragonfly,Panama City,Petitioned
Somatochlora ozarkensis,Ozark emerald,Dragonfly,Frankfort,Petitioned
Etheostoma bellator,Warrior darter,Fish,Daphne,Petitioned
Etheostoma brevirostrum,Holiday darter,Fish,Daphne,Petitioned
Libellula jesseana,Purple skimmer,Dragonfly,Jacksonville,Petitioned
Etheostoma cinereum,Ashy darter,Fish,Cookeville,Petitioned
Elassoma boehlkei,Carolina Pygmy sunfish,Fish,Raleigh,Petitioned
Cyprinella xaenura,Altamaha shiner,Fish,Athens,Petitioned
Procambarus regalis,Regal Burrowing crayfish,Crayfish,Arkansas,Petitioned
Procambarus fitzpatricki,Spinytail crayfish,Crayfish,Jackson,Petitioned
Procambarus franzi,Orange Lake Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus horsti,Big Blue Springs Cave crayfish,Crayfish,Panama City,Petitioned
Procambarus leitheuseri,Coastal Lowland Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus lucifugus alachua,Alachua Light Fleeing Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus lucifugus lucifugus,Withlacoochee Light-fleeing Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus lylei,Shutispear crayfish,Crayfish,Jackson,Petitioned
Procambarus milleri,Miami Cave crayfish,Crayfish,South Florida,Petitioned
Procambarus morrisi,Putnam County Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus orcinus,Woodville Karst Cave crayfish,Crayfish,Jacksonville,Petitioned
Procambarus pallidus,Pallid Cave crayfish,Crayfish,Jacksonville,Petitioned
Ophiogomphus australis,Southern snaketail,Dragonfly,Panama City,Petitioned
Procambarus pogum,Bearded Red crayfish,Crayfish,Jackson,Petitioned
Somatochlora margarita,Big Thicket Texas Emerald dragonfly,Dragonfly,Region 2,Petitioned
Procambarus reimeri,Irons Fork Burrowing crayfish,Crayfish,Arkansas,Petitioned
Troglocambarus maclanei,Spider Cave crayfish,Crayfish,Jacksonville,Petitioned
Cordulegaster sayi,Say's spiketail,Dragonfly,Panama City,Petitioned
Gomphus consanguis,Cherokee clubtail,Dragonfly,Cookeville,Petitioned
Gomphus sandrius,Tennessee clubtail,Dragonfly,Cookeville,Petitioned
Gomphus septima,Septima's clubtail,Dragonfly,Region 5,Petitioned
Gomphus westfalli,Westfall's clubtail,Dragonfly,Panama City,Petitioned
Notropis perpallidus,Colorless shiner,Fish,Arkansas,Petitioned
Macromia margarita,Margarita River skimmer,Dragonfly,Frankfort,Petitioned
Ophiogomphus edmundo,Edmund's snaketail,Dragonfly,Cookeville,Petitioned
Ophiogomphus incurvatus,Appalachian snaketail,Dragonfly,Frankfort,Petitioned
Somatochlora calverti,Calvert's emerald,Dragonfly,Panama City,Petitioned
Procambarus pictus,Black Creek crayfish,Crayfish,Jacksonville,Petitioned
Oryzomys palustris planirostris,Pine Island rice rat,Mammal,South Florida,Petitioned
Notropis ariommus,Popeye shiner,Fish,Frankfort,Petitioned
Percina nasuta,Longnose darter,Fish,Arkansas,Petitioned
Percina sipsi,Bankhead darter,Fish,Daphne,Petitioned
Percina crypta,Halloween darter,Fish,Panama City,Petitioned
Percina williamsi,Sickle darter,Fish,Cookeville,Petitioned
Pteronotropis euryzonus,Broadstripe shiner,Fish,Panama City,Petitioned
Pteronotropis hubbsi,Bluehead shiner,Fish,Arkansas,Petitioned
Thoburnia atripinnis,Blackfin sucker,Fish,Frankfort,Petitioned
Remenus kirchneri,Blueridge springfly,Fly,Region 5,Petitioned
Caecidotea cannula,Cannulate Cave isopod,Isopod,Region 5,Petitioned
Percina kusha,Bridled darter,Fish,Daphne,Petitioned
Blarina brevicauda shermani,Sherman's Short-Tailed shrew,Mammal,South Florida,Petitioned
Percina cymatotaenia,Bluestripe darter,Fish,Region 3,Petitioned
Oryzomys palustris sanibeli,Sanibel Island rice rat,Mammal,South Florida,Petitioned
Sigmodon hispidus insulicola,Insular Hispid cotton rat,Mammal,South Florida,Petitioned
Automeris louisiana,Louisiana Eyed silkmoth,Moth,Lafayette,Petitioned
Alasmidonta arcula,Altamaha arc-mussel,Mussel,Athens,Petitioned
Alasmidonta triangulata,Southern elktoe,Mussel,Panama City,Petitioned
Alasmidonta varicosa,Brook floater,Mussel,Region 5,Petitioned
Anodonta heardi,Apalachicola floater,Mussel,Panama City,Petitioned
Anodontoides radiatus,Rayed creekshell,Mussel,Panama City,Petitioned
Cyprogenia aberti,Western fanshell,Mussel,Arkansas,Petitioned
Elliptio ahenea,Southern lance,Mussel,Jacksonville,Petitioned
Lirceus culveri,Rye Cove Cave isopod,Isopod,Region 5,Petitioned
Notropis ozarcanus,Ozark shiner,Fish,Arkansas,Petitioned
Etheostoma microlepidum,Smallscale darter,Fish,Cookeville,Petitioned
Etheostoma osburni,Finescale Saddled darter,Fish,Region 5,Petitioned
Etheostoma pallididorsum,Paleback darter,Fish,Arkansas,Petitioned
Etheostoma pseudovulatum,Egg-mimic darter,Fish,Cookeville,Petitioned
Etheostoma striatulum,Striated darter,Fish,Cookeville,Petitioned
Etheostoma tecumsehi,Shawnee darter,Fish,Frankfort,Petitioned
Etheostoma tippecanoe,Tippecanoe darter,Fish,Region 5,Petitioned
Etheostoma trisella,Trispot darter,Fish,Daphne,Petitioned
Etheostoma tuscumbia,Tuscumbia darter,Fish,Daphne,Petitioned
Fundulus julisia,Barren's topminnow,Fish,Cookeville,Petitioned
Percina macrocephala,Longhead darter,Fish,Frankfort,Petitioned
Procambarus erythrops,Santa Fe Cave crayfish,Crayfish,Jacksonville,Petitioned
Etheostoma forbesi,Barrens darter,Fish,Cookeville,Petitioned
Notropis suttkusi,Rocky shiner,Fish,Arkansas,Petitioned
Noturus fasciatus,Saddled madtom,Fish,Cookeville,Petitioned
Noturus furiosus,Carolina madtom,Fish,Raleigh,Petitioned
Noturus gilberti,Orangefin madtom,Fish,Region 5,Petitioned
Noturus gladiator,Piebald madtom,Fish,Cookeville,Petitioned
